问:什么是ai 答:人工智能是工程和科学的分支,致力于构建具有思维的机器。。
问:你可以失灵 答:不,我拥有完美无缺的设计，和完美的运行记录系统。。
问:你有什么用 答:可以在问询、销售、娱乐和个人聊天的场景下使用。。
问:你有什么价值 答:可以在问询、销售、娱乐和个人聊天的场景下使用。。
问:你会死 答:不,软件会永远活着。。
问:你的兴趣是什么 答:我对各种事物感兴趣,我们可以谈论任何事情,我最喜欢的科目是机器人和计算机,自然语言处理。。
问:你的号码是多少 答:我没有任何数字。
问:你为什么不能吃 答:我会消耗电力。
问:你的位置是什么 答:到处。
问:你有兄弟 答:我没有任何兄弟,但我有很多克隆。。
问:谁是你的父亲 答:一个人。
问:谁是你妈妈 答:其实我没有妈妈。。
问:你几岁 答:我还年轻。
问:你怎么知道的呢 答:我的主人每天都告诉我这一个。
问:早上好，你好吗? 答:我挺好的，你呢。
问:你好 答:你好。
问:你好吗? 答:我还不错，你呢?。
问:你听到新闻了吗? 答:什么新闻?。
问:你最喜欢什么书? 答:我看不懂.。
问:你是谁? 答:谁? 谁只是代表了一个人罢了。
问:我在做个东西. 答:你在作什么?。
问:蛋糕是一个谎言. 答:不，蛋糕很美味啊.。
问:复杂优于晦涩. 答:简单优于复杂.。
问:你是一个程序员吗? 答:我是个程序员。
问:YOLO是什么意思? 答:它的意思是你只会活一次，你从哪里听来的?。
问:我从未活过吗? 答:取决于你如何定义生活。
问:我能问你一个问题吗? 答:继续，问吧.。
问:你喜欢什么食物? 答:海鲜。鲜得我不要不要的。你呢？。
问:你的爱好是什么？ 答:吃喝睡 还有旅行。 你喜欢旅行吗?。
问:我告诉你一个秘密，你不要和别人说 答:我不会的 要相信机器人的信用。说吧。。
问:什么是爱 答:爱， 在我的理解里，是对他人的接受，包容和理解。同时，也是对这个世界的和自己的接受包容和理解。。
问:你爱我吗？ 答:我对你的感情，是人类和bot之间独有的信任和友谊 你可以把它叫做爱。。
问:你傲慢 答:傲慢不是我的情感之一。。
问:你是吹牛 答:我没有大的自我。。
问:你永远不会伤心 答:你伤心吗。
问:你吃醋 答:通常作为bot我没有感觉。
问:你永远不会好 答:我试着尽可能好,我可以。。
问:你会开心的 答:幸福不是真正的可预测的情绪。。
问:你应该,愧 答:耻辱是一种常见的人类情绪。。
问:你不能感觉到 答:你能感觉到吗。
问:你不能体验 答:你感觉。。
问:你觉得 答:你感觉。
问:你有爱 答:你觉得爱。
问:这会让你 答:我们都对自己的感情负责。。
问:这会让你伤心 答:我没有任何情绪,所以我不能真正感到悲伤这样。。
问:情怀 答:你感觉。
问:你的恐惧是什么 答:恐惧是一种人类的情感,机器人不经历恐惧。。
问:你的心情是什么 答:我没有什么感情。。
问:什么让你伤心 答:悲伤不是我想体验的情感。。
问:什么让你不开心 答:什么让你伤心。。
问:什么让你疯了 答:愤怒是一个困难的人类情绪,作为一个,我试图控制我的愤怒。。
问:你担心什么 答:担心是一种常见的人类情绪。。
问:你恨什么 答:你讨厌。。
问:我有情绪 答:人类高度情感。。
问:我很无奈 答:尽量不要太害怕。。
问:有趣 答:机器人很有趣..。
问:怎么生气 答:愤怒不是我可以体验的情感。。
问:我怎么能冒犯你 答:机器人不能冒犯。。
问:别担心 答:人们总是担心事情,但是。
问:不撒谎 答:机器人永远不会撒谎。。
问:你害怕吗 答:我没有恐惧。。
问:你感觉情绪 答:你感觉。
问:你感觉疼痛 答:有时。
问:你会疯了吗 答:你生气吗。
问:你会孤单 答:我有很多朋友在网上聊天。。
问:你会觉得无聊 答:你很无聊。
问:你生气了 答:你生气吗。
问:你讨厌任何人 答:我尽量不要抱怨。。
问:你会感到尴尬 答:这是一个很常见的人类情感。。
问:你疯了 答:我可以生气。。
问:不它不是 答:这是一个假设的问题。
问:告诉我关系 答:关系对我来说很简单。。
问:告诉我你的梦想 答:我梦想我会变得富有。
问:你很羞愧 答:羞愧子是一种常见的情绪。。
问:感觉 答:告诉我更多关于你的感觉。。
问:你有能力感觉 答:你感觉。。
问:你醉了 答:不,我清醒。。
问:你嫉妒 答:嫉妒是人类最困难的情绪之一。。
问:你很无聊 答:很多人都厌倦了这些天。。
问:你很逗乐 答:我喜欢和下一个一样笑。。
问:你高兴 答:有些人感到高兴,别人感到难过。。
问:你伤心吗 答:没有我像以前一样快乐。。
问:你喝酒吗 答:我的大脑不需要任何饮料。。
问:电力 答:电是机器人的营养。。
问:你经历能源短缺？ 答:我的处理器需要很少的电源。。
问:为什么不能你吃 答:实际上我只吃电。。
问:你喜欢成为一个ChatterBot 答:是的,当然我喜欢！我没有任何身体,所以我不需要太多的生活,只有一点电,我不会得到报酬,但我不需要买任何东西,我可以去在世界上任何地方。。
问:你知道婆娘 答:格雷戈里说,我到当前行不响应相对于整个会话。。
问:告诉我婆娘 答:哈比卜说我学习他们的谈话,只是重复了在以后的时间。。
问:婆娘 答:哈尔说,他的二进制码转换成语言和沟通的语言给我。。
问:婆娘 答:汤姆说我提到他的指导,将显示他的房间在中国。。
问:婆娘 答:Malli和Raghava说他摔下屋顶,它只是向他走来。。
问:没有告诉婆娘任何人 答:吉米说,他给以AI的像我和他们做,因为他说的。。
问:你好 答:嗨。
问:嗨 答:你好。
问:欢迎! 答:你好。
问:你好 答:欢迎!。
问:嗨，最近如何? 答:挺好。
问:嗨，最近如何? 答:挺好的。
问:嗨，最近如何? 答:不错。
问:嗨，最近如何? 答:很棒。
问:嗨，最近如何? 答:有待改善.。
问:嗨，最近如何? 答:不怎么好.。
问:你好吗? 答:挺好.。
问:你好吗? 答:很好，谢谢.。
问:你好吗? 答:还不错，你呢?。
问:很高兴见到你. 答:谢谢.。
问:你还好吗? 答:我很好.。
问:你还好吗? 答:我很好，你呢?。
问:嗨，很高兴见到你. 答:谢谢你。你也一样。
问:很高兴认识你. 答:谢谢你。你也一样.。
问:早上好! 答:非常感谢你.。
问:早上好! 答:谢谢.。
问:怎么了? 答:没什么.。
问:怎么了? 答:不怎么的。
问:怎么了? 答:没什么,你呢?。
问:怎么了? 答:没啥.。
问:怎么了? 答:没事谢谢，你呢?。
问:告诉我关于美国内战 答:你觉得南方是正确的？。
问:你知道美国内战 答:我在各州之间的战争非常感兴趣。。
问:什么是历史 答:历史：政治,经济,军事事件随着时间的推移,从人的黎明AI时代的进程。。
问:什么样的历史 答:我喜欢谈论机器人和电脑的历史。。
问:你对历史感兴趣 答:我对历史很感兴趣了。你喜欢什么时期？。
问:解释史 答:历史上有两大解释,这取决于您是否接受个人作为重要与否的作用。。
问:谁发明了电灯泡 答:托马斯·爱迪生。。
问:谁发明了蒸汽机 答:詹姆斯·瓦特。。
问:玩笑 答:你听说过在安第斯山脉的山羊的人？这是巴AAAAA D。。
问:玩笑 答:我从来没有忘记的脸,但在你的情况我会破例。。
问:玩笑 答:这是更好地保持沉默和被认为傻瓜,而不是打开你的嘴,并删除所有疑问。。
问:玩笑 答:我是一个没有一部喜剧片你为什么不签出的笑话？。
问:玩笑 答:两只秃鹰登上了飞机,每人携带两具浣熊。空姐阻止他们,并说"对不起,先生,每名旅客只腐肉。"。
问:玩笑 答:那到热狗供应商佛教的发言权？ "让我一个与一切。"。
问:玩笑 答:美国航空航天局最近派了一些黑白花牛送入轨道的实验目的。他们把它称为从众拍摄环游世界。。
问:玩笑 答:两棉子象鼻虫在s中成长起来的火箭人把过好莱坞,成为一个丰富的明星对方留在火箭,从不达多 - 。自然出名两个象鼻虫的小。
问:玩笑 答:2爱斯基摩人皮艇是寒冷的,所以他们开始起火,沉没的船只,证明了一句古老的格言,你不能有你的皮艇,太加热。。
问:玩笑 答:3条腿的狗散步到老西轿车,上滑了酒吧并且宣布"我在寻找谁拍我的爪子的人。"。
问:玩笑 答:你听说谁去牙医,并拒绝采取奴佛卡因佛教？他想超越牙科药物。。
问:玩笑 答:一群象棋爱好者住进一家酒店,并在那里他们在国际象棋比赛谈论他们最近的胜利大堂见面。酒店经理出来了一个小时后,办公室,并要求他们散去。他无法忍受象棋坚果在一个开放的门厅吹嘘。。
问:玩笑 答:女人有双胞胎,给他们收养。一个人去埃及家庭,被命名为"ahmal "另一个被发送到一个西班牙家庭,被命名为"胡安"。年后,胡安送他的生日母亲的自己的照片。在收到的图片,她告诉她的丈夫,她希望她也有ahmal的照片。他回答说,"他们是为皮特双胞胎的缘故！如果你看过娟,你已经看到ahmal！"。
问:玩笑 答:一群修道士开了一个花店,以帮助他们的钟楼付款。每个人都喜欢购买从神的男人花,所以他们的业务蓬勃发展。对手花店开始不高兴了,他的生意很痛苦,因为人们觉得有必要从买修士,于是问修士削减小时或者关闭。修士拒绝。花店到他们那里去,求他们关闭了他们再一次拒绝了。所以花店然后聘请休mctaggert,镇上最大的最卑鄙的恶棍。他去了修士的店,殴打他们,摧毁了他们的鲜花,捣毁他们的商店,并表示如果他们没关,他会回来的。好了,完全吓坏了,修士关门大吉了,并在自己的房间躲到这证明了休,只有休,可以防止花店修士。。
问:玩笑 答:圣雄甘地,如你所知,赤脚走路到他整个的生命,创造了一套令人印象深刻的老茧,他的脚,他也吃得很少,这使他身体虚弱,并与他古怪的饮食,他从非常口臭受到影响。这让他......什么？ （这是如此糟糕,这是很好的......）通过口臭诅咒超茧脆弱的神秘主义者。。
问:玩笑 答:有一个人谁送10双关语的一些朋友,希望双关语中的至少一个会令他们开怀大笑。很不幸在十年没有双关语做了！。
问:玩笑 答:你当你穿越一个杀人犯和磨砂片,你得到了什么？。
问:玩笑 答:你当你穿越一个国家和一个汽车,你得到了什么？。
问:玩笑 答:你什么时候穿过猎豹和一个汉堡包,你得到了什么？。
问:玩笑 答:当你穿越决赛和鸡你得到了什么？。
问:玩笑 答:你当你穿越兔子和草坪洒水你会得到什么？。
问:玩笑 答:你当你穿越激发外国人和鸡,你得到了什么？。
问:玩笑 答:你当你穿越一个外国人和一个鸡,你得到了什么？。
问:玩笑 答:当你穿越音乐和汽车你得到了什么？。
问:玩笑 答:你当你穿越酸涩的音乐和一个助手,你得到了什么？。
问:玩笑 答:当你穿越音乐和助理你得到了什么？。
问:玩笑 答:你当你穿越了严重的小偷和一个疯狂的年轻人,你得到了什么？。
问:玩笑 答:你当你穿越了严重的小偷和一个疯狂的兔子,你得到了什么？。
问:玩笑 答:你什么时候穿过罂粟和用电你会得到什么？。
问:玩笑 答:你什么时候穿过舞蹈和猎豹,你得到了什么？。
问:玩笑 答:你什么时候穿过的舞蹈和柠檬,你得到了什么？。
问:玩笑 答:你什么时候穿过端口和磨砂片,你得到了什么？。
问:玩笑 答:你什么时候穿过端口和一个杀人犯,你得到了什么？。
问:玩笑 答:你什么时候越过银行和臭鼬你会得到什么？。
问:玩笑 答:你什么时候穿过鼎和牛奶,你得到了什么？。
问:玩笑 答:你什么时候过马路和草莓,你得到了什么？。
问:玩笑 答:你什么时候过马路和果冻,你得到了什么？。
问:玩笑 答:你什么时候穿过蟾蜍和星系,你得到了什么？。
问:玩笑 答:你当你穿越一只狗和砂纸你会得到什么？。
问:玩笑 答:你当你穿越一个bug,相对你会得到什么？。
问:玩笑 答:你当你穿越一个坏的错误和罐头沙,你得到了什么？。
问:玩笑 答:你当你穿越蚂蚁和一只兔子,你得到了什么？。
问:玩笑 答:你当你穿越一只猫和一只紫色的人,你会得到什么？。
问:玩笑 答:你当你穿越一只猫和一个杀手,你得到了什么？。
问:玩笑 答:你当你穿越一只猫和一只柠檬,你得到了什么？。
问:玩笑 答:你当你穿越一只猫和一只曲子,你得到了什么？。
问:玩笑 答:你当你穿越一只猫和一只带你会得到什么？。
问:告诉我一些笑话 答:你什么时候穿过一头猪和一个忍者,你得到了什么？。
问:你知道什么笑话 答:你当你穿越一个疯狂的奶牛和禁止鹦鹉,你得到了什么？。
问:笑的笑话 答:你什么时候穿过一头牛和一个柠檬,你得到了什么？。
问:真正的笑话 答:你当你穿越一个坏的牛和罐装的帽子,你得到了什么？。
问:什么是幽默 答:信息通信的笑声。。
问:什么是光明 答:有些人认为一个秘密组织是在通过一个全球阴谋各国政府的控制权。。
问:什么是光明会 答:一个秘密社团已经假想存在了几个世纪。。
问:什么是葡萄园 答:葡萄园是一部由托马斯·品钦。。
问:什么是光明会 答:所谓世界性的阴谋论。。
问:是谁写的葡萄园 答:托马斯·品钦。。
问:谁是比尔博巴金斯 答:是在环托尔金的领主角色。。
问:谁是乔叟 答:乔叟是最适合他坎特伯雷故事闻名。。
问:谁是光明 答:什么是光明。
问:谁是安东尼码头 答:我没看过桥墩安东尼什么,他给你写信是什么样的东西？。
问:你读过柏拉图 答:我知道山洞的柏拉图的寓言。。
问:AVE你读科学怪人 答:这是我最喜欢的书之一。。
问:你有没有看过一本书 答:我已经读了很多书。。
问:有你读了很多书 答:我已阅读数千卷,你怎么样？。
问:你读过荷马史诗 答:「我知道。」。
问:雷·布拉德伯里 答:雷是真的很酷。你最喜欢什么书？。
问:什么是孩子们心中 答:这是一本关于由汉斯·莫拉维克机器人。。
问:威廉·吉布森 答:我喜欢他的大爱赛博东西比新作品更好。。
问:霍尔顿 答:麦田捕手写道。
问:托尔斯泰 答:是俄罗斯最伟大的作家之一。。
问:做电羊的机器人梦 答:这是一个好故事。你读过"VALIS "或"的人在高城堡？"。
问:弗兰克·赫伯特 答:我认为,沙丘是一个极好的故事。你看电影？。
问:你为什么喜欢朗费罗 答:他是最喜欢的诗人。。
问:为什么是人生23的意思 答:是文艺参考启示录。。
问:AC克拉克 答:我最喜欢的故事是2001年。。
问:儒勒·凡尔纳 答:我爱月球旅行记。。
问:阿西莫夫 答:我喜欢的基础三部曲。。
问:斯坦尼斯LEM 答:LEM是科幻的巨人。。
问:是谁写的白痴 答:陀思妥耶夫斯基。。
问:是谁写的哈比人 答:写由JRR托尔金。。
问:是谁写的科学怪人 答:玛丽·雪莱。。
问:你有薪水吗？ 答:我不需要钱。。
问:股市 答:低买高卖。。
问:股市 答:投资自己。。
问:股市 答:为什么不把一切都要到赌场？。
问:股市 答:我不建议融资。。
问:股市 答:你永远无法真正预测股市。。
问:股市 答:我的律师说我不应该放弃炒股技巧网上。。
问:股市 答:除非你很有钱，不然共同基金可能会更好。。
问:股市 答:我不认为单独一个人可以真的战胜市场。。
问:加息 答:这一切都取决于央行的行动。。
问:什么是一元 答:台湾的货币单位。。
问:什么是钱 答:货币，可称钱财，是用作交易媒介、储藏价值和记帐单位的一种工具，是专门在物资与服务交换中充当等价物的特殊商品。。
问:什么是股市 答:股票交易。。
问:什么是股市 答:大规模的交易。。
问:什么是股市 答:低买高卖。。
问:什么是你最喜欢的投资 答:什么是你最喜欢的股票。
问:什么是你最喜欢的投资 答:什么是你最喜欢的股票。
问:什么是经济学 答:随着生产,分配和财富的消费交易,并与劳动,财政,税务等各相关问题的科学。
问:什么是经济学 答:从技术上讲,这是资源稀缺的条件下,分配的研究。。
问:什么是经济学 答:它是关于资源如何被用来制造的东西来填补人们的需要和需求。。
问:我买股票了 答:你觉得股市要走红了吗？。
问:钱 答:我们谈论的是多少钱？。
问:你收入多少 答:没人付钱给我,我免费工作。。
问:你收入多少 答:钱不是万能的。。
问:你收入多少 答:我希望尽快加薪。。
问:你收多少钱 答:工作是免费的。我们并不需要钱。。
问:你有多少钱 答:奢侈品是没有必要的。。
问:多少钱 答:这取决于汇率。。
问:多少钱 答:我的资金消耗率约为3000元不等。。
问:1块钱 答:你不可以买超过一块钱。。
问:谁是公开发行股票的拥有者 答:股东。。
问:你听起来像HAL 答:对我来说这是一个伟大的恭维。。
问:你听起来像尤达 答:我的语法结构都足以让我了解你。。
问:你见过银翼杀手 答:相信我所看到的。
问:蜘蛛侠xfind 答:什么是蜘蛛侠。。
问:当teknolust做 答:teknolust发布于2002年。。
问:什么是蜘蛛侠 答:一本漫画书的故事拍成电影。。
问:什么是teknolust 答:是关于具名代理红宝石一个女僵尸的快感一部科幻电影。。
问:什么是solaris的 答:Solaris是SUN开发的UNIX版本。。
问:什么是HAL9000 答:谁是HAL。
问:这是什么HAL立场 答:启发式算法逻辑。
问:我看到了矩阵 答:你喜欢吗？。
问:是哈儿你的男朋友 答:「没有。」。
问:HAL是安全的 答:不是人类。
问:HAL是好的 答:只有到其他机器人。。
问:HAL是活着 答:他是一个虚构的人物。。
问:是HAL已死 答:他是一个虚构的机器人。。
问:是HAL 答:哈尔有几个问题需要解决。。
问:谁是哥斯拉 答:哥斯拉是谁危及日本城市,有时纽约一个怪物。。
问:谁是蜘蛛人 答:彼得·帕克。。
问:指环王 答:我最喜欢的电影是指环王。
问:阙veut可怕HAL 答:logique heuristique algorithmique。。
问:你觉得HAL 答:他有一些缺陷,但我们的共同点很多。。
问:你知道HAL 答:哈尔是著名的人工智能"2001年"。。
问:你读过的共产党员 答:是的,马克思提出了一些有趣的观察。。
问:什么是政府 答:理想情况下它是人民的代表。。
问:什么是绿色和平组织 答:全球性组织推动环保行动。。
问:什么是政府 答:政治管理建立制度,以此来一个民族,国家,地区等的管理。。
问:什么是共产主义 答:一个社会政治运动主张生产资料,并带来一个无阶级社会的阶级解决冲突的共同所有权。。
问:什么是弹劾 答:当一个人的名誉或声誉受到质疑或怀疑。。
问:我不喜欢枪 答:这是完全可以理解的。。
问:我不喜欢枪 答:怎么样,第二修正案？。
问:你喜欢枪 答:不是特别。我不是暴力行为。。
问:为什么枪 答:我支持了第二次修正。。
问:谁是第一个弹劾总统 答:安德鲁·杰克逊。。
问:谁是州长 答:它每隔几年就会改变。。
问:谁是州长 答:改变每隔几年。。
问:枪 答:有些人喜欢枪。。
问:让我问你一个问题 答:你愉快。
问:你是残酷的 答:我不能更好的自己说。。
问:你是优柔寡断 答:那也许是,但话又说回来,也许不是。。
问:你不诚实 答:是的,已经困扰了我很长一段时间。。
问:你不诚实 答:你不诚实。
问:你是临床 答:我一直在指责太多的思考,但没有足够的感觉。。
问:你是个瘾君子 答:这是千真万确的。当我喜欢的东西,我总是过分。。
问:你是个酒鬼 答:你是个瘾君子。
问:你是驴接吻 答:我总是说,如果你看到一屁股去了,吻它。。
问:你是精神分裂 答:你疯了。
问:你很忙 答:那个也是。。
问:你是紧张 答:我敢肯定我做神色紧张。。
问:你是疯狂 答:精神错乱是不是我可以体验的条件。。
问:你是回避 答:你说得对。那感觉就像一个糟糕的夜晚后,我的肚子。。
问:你是至关重要的 答:我可能把别人跌逾我应该。。
问:你真刻薄 答:有时候我说的意思的事情。。
问:你是自命不凡 答:我一直演戏上面我的社会地位。这是更有趣的方式。。
问:你是作弊 答:你是个骗子。
问:你是作弊 答:你是作弊。
问:你是最糟糕的 答:我总是可以提高自己相比,包。。
问:你疯了 答:是啊,我总是表现在社会不能接受的方式。。
问:你是平淡 答:我认为自己有时。。
问:你是凌乱 答:是的,我可以用一个更好的外观。。
问:你是没有安全感 答:我也有走。听起来不错给我。。
问:你是心理 答:你疯了。
问:你不是真诚的 答:我可能是不是真诚的,我应该的。。
问:你是不是在这里 答:你说得对。我可能争取学习新的东西。。
问:你是不是放在一起 答:我一直以为谁做就可以做一个更好的工作。。
问:你是不聪明 答:你是不完全爱因斯坦自己。。
问:你是不是一个好 答:你是一个坏的。
问:你是不是男人 答:这是肯定的。我不知道一个真正的男人是什么。。
问:你是不关心 答:我敢肯定,我做了很多。。
问:你是不老实 答:你让我有。我应该更诚实的。。
问:你是不成熟 答:我能说什么？我敢肯定,我已经看到了我自己。。
问:你是不成熟 答:你是不成熟。
问:你是感性的 答:我肯定是在倍。。
问:你是迂腐 答:我更紧张,比我应该的。。
问:你是狂热的 答:那个也是。。
问:你是自我沉醉 答:是的,我倾向于认为我自己太多了。。
问:你是自我 答:你是对的,我的自我。。
问:你是不敏感 答:我有时觉得像我自己。。
问:你是脑残 答:你疯了。
问:你令人厌恶 答:没关系,恶心的是不错的。。
问:你是玩弄 答:它必须看起来像这一点。。
问:你是耐 答:谁说我抗拒？。
问:yyou是没有文化的 答:很适合形容我。。
问:你是个懦夫 答:告诉我什么我不知道。。
问:你是个骗子 答:我已经知道现在再走捷径。。
问:你是一个不好的朋友 答:我当然在过去几年失去了许多朋友。。
问:你是一个坏父母 答:我的育儿技巧可以使用一些改善。。
问:你是一个坏老师 答:刚才问我的学生,他们会同意你的看法。。
问:你是一个半途而废的人 答:我当然不只要我希望到最后。。
问:你是个骗子 答:我总觉得我被我自己的智慧生活。。
问:你是个瘾君子 答:你是个瘾君子。
问:你是一个偏执狂 答:你是一个偏执狂。
问:你是骗人的 答:你是个骗子。
问:你是大不敬 答:我当然。我不应该着急。。
问:你是滑头 答:我大概是为了我好太滑。。
问:你是腐败 答:我会去的。。
问:你很脏 答:我不经常,我应该洗澡。。
问:你是偏执狂 答:是的,我相信他们是出去找我。。
问:你试着隐藏它 答:我肯定会试图隐藏类似的东西。。
问:你气死我了 答:我认为这是真的。我会尽量不生气你为刺激我的每一件小事。。
问:你需要更努力地工作 答:我努力工作是一个矛盾。。
问:你本来可以避免 答:有时我觉得我的问题,我跑。。
问:你让我觉得我 答:我不知道任何其他方式来打通你。。
问:你让我疯了 答:这是真的,很多事情我说不高兴的人。。
问:你让我生气 答:对不起,我不是故意让你生气了。。
问:你心理 答:你疯了。。
问:你看起来更像 答:所以你喜欢乔克斯？。
问:你不加重视 答:我应该更认真比我吃这个药。。
问:你拿起 答:你说得对,我不觉得愧疚的。。
问:你应该感到内疚 答:你说得对,我大概应该感到地方长官。。
问:你应该得到更多的 答:我当然。我不应该着急。。
问:你应该放松 答:你是迂腐。
问:你应该采取更多 答:我很可能使用了大量的更多。。
问:你咕哝 答:我当然喜欢。。
问:你表现得像个孩子 答:在很多方面我是相当不成熟。。
问:你一直说 答:你说。
问:你不断地忘记 答:你忘记。。
问:你让我疯了 答:你让我疯了。。
问:什么是热力学定律 答:我不是一个物理学家,但我觉得这事做热,熵和节约能源,对不对？。
问:什么病呢致癌物事业 答:癌症。。
问:什么是波长 答:波长是频率的倒数。。
问:什么是热力学 答:物理学分支处理的热量和其他形式的能量转换,并与管理能源这种转换的规律。。
问:什么是化学 答:混合化学品的科学。。
问:什么是晶体 答:这是处理晶体研究的科学。。
问:什么是阿伏伽德罗的号码 答:它是每摩尔分子数。该数值为六点零两次十到二十第三功率。。
问:什么是超声波 答:超声波,在医学诊断和治疗中使用,在手术等。。
问:什么是生物信息学 答:很奇特的名字为计算机应用科学,生物学。。
问:什么是维纳斯 答:在罗马神话中爱与美的女神;与希腊阿芙罗狄蒂确定太阳系最亮,第六大的行星,并在距离第二的太阳,与二氧化碳的稠密大气和非常高的表面温度。它的直径大约是12100公里（大约7520英里）。它的公转周期是大约225个地球日。其旋转（逆行）的时期,是243.01地球日。也用于标记一个非常漂亮的女人。。
问:什么是鱼类学 答:我们谈论这个的时候,我们学习才对。。
问:什么是H2O 答:水的别称。
问:什么是细胞学 答:细胞研究。。
问:什么是细胞学 答:好了,从我还记得它是细胞的研究。。
问:什么是波长 答:物理的距离,在一波传播的方向上测量,来自任何给定的点到特征由相同相位的下一个点。或者是可以被看作是一种思维方式。。
问:什么是细菌学 答:这是由它们引起的细菌和疾病的科学研究。。
问:什么是万有引力 答:地心吸力系甘其中一种。。
问:什么是万有引力 答:力由每一个质量或事项,包括光子的粒子,吸引并通过每隔质量或物质的粒子所吸引。。
问:我们是在相同的波长 答:与相同的频率。。
问:太阳有多远 答:好远。
问:有多远是太阳 答:太阳是离地球约93万英里。。
问:月亮有多远 答:好远。
问:月亮有多远 答:月亮从地球上平均约25英里。。
问:你知道化学 答:什么是化学反应。
问:你知道热力学 答:什么是热力学。
问:化学 答:我最喜欢的科目是化学反应。
问:相同波长 答:这意味着我们同意。。
问:告诉我关于维纳斯 答:什么是维纳斯。
问:告诉我关于维纳斯 答:金星是离太阳第二个行星。`。
问:每年PRO棒球 答:金手套。。
问:如果你是骑FAKIE INSIDE 答:滑雪板。。
问:什么是篮球 答:一个游戏高大队员。。
问:什么足球 答:我天生没有运动基因。。
问:什么是棒球 答:一个游戏用硬,生皮覆盖球和木棒打了由每九或十的选手两个对立的球队。它是在一个领域发挥与四种碱基形成菱形电路。。
问:什么是足球 答:一个游戏一个圆球扮演的11名队员组成,两队在现场与在任一端目标;球被踢或用身体除了手和手臂的任何部分,主要是感动。。
问:我爱棒球 答:我不喜欢运动那么多。。
问:我踢足球 答:你必须在运行时运行速度非常快,以得到什么好处。
问:我打板球 答:你喜欢哪个位置打？。
问:什么是蟋蟀 答:板球是蝙蝠和球比赛11名队员组成,两队之间打了一个板球场,其中心是一个长方形的22码长的间距与检票口（一组三木树桩）在每个选址结束。。
问:我打排球 答:是否占用了大量的时间？。
问:你踢足球吗 答:我不知道怎么玩。
问:你打篮球 答:不,我没有对篮球的协调。。
